clave,nombre,irte_base,irte_if_salud_40pct,delta_salud,irte_if_pobreza_40pct,delta_pobreza,irte_if_educacion_40pct,delta_educacion,irte_if_genero_empleo_40pct,delta_genero_empleo
7,Chiapas,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
20,Oaxaca,0.9016,0.9007,-0.0009,0.8965,-0.0051,0.9005,-0.0011,0.9085,0.0069
12,Guerrero,0.8594,0.8546,-0.0048,0.8557,-0.0037,0.8573,-0.0021,0.8702,0.0108
30,Veracruz,0.6447,0.6298,-0.0149,0.6393,-0.0054,0.64,-0.0047,0.6698,0.0251
27,Tabasco,0.5829,0.5673,-0.0156,0.5785,-0.0044,0.5734,-0.0095,0.6123,0.0294
21,Puebla,0.5798,0.566,-0.0138,0.5712,-0.0086,0.5773,-0.0025,0.6049,0.0251
16,Michoacán,0.5348,0.5139,-0.0209,0.5221,-0.0127,0.5386,0.0038,0.5646,0.0298
4,Campeche,0.499,0.4784,-0.0206,0.4975,-0.0015,0.4891,-0.0099,0.531,0.032
13,Hidalgo,0.4824,0.4631,-0.0193,0.4712,-0.0112,0.4855,0.0031,0.5097,0.0273
24,San Luis Potosí,0.4558,0.4393,-0.0165,0.445,-0.0108,0.453,-0.0028,0.4859,0.0301
29,Tlaxcala,0.4408,0.4235,-0.0173,0.4429,0.0021,0.4302,-0.0106,0.4668,0.026
32,Zacatecas,0.4385,0.4198,-0.0187,0.4211,-0.0174,0.4403,0.0018,0.4728,0.0343
31,Yucatán,0.4174,0.3968,-0.0206,0.4045,-0.0129,0.4238,0.0064,0.4445,0.0271
18,Nayarit,0.3999,0.3869,-0.013,0.3769,-0.023,0.3959,-0.004,0.4397,0.0398
17,Morelos,0.3937,0.3712,-0.0225,0.391,-0.0027,0.3851,-0.0086,0.4275,0.0338
10,Durango,0.3728,0.3587,-0.0141,0.3524,-0.0204,0.3715,-0.0013,0.4086,0.0358
11,Guanajuato,0.3257,0.2998,-0.0259,0.3191,-0.0066,0.3344,0.0087,0.3495,0.0238
23,Quintana Roo,0.3116,0.2946,-0.017,0.2938,-0.0178,0.309,-0.0026,0.3491,0.0375
25,Sinaloa,0.3108,0.2979,-0.0129,0.2891,-0.0217,0.3067,-0.0041,0.3498,0.039
15,Estado de México,0.31,0.2948,-0.0152,0.3131,0.0031,0.3074,-0.0026,0.3249,0.0149
28,Tamaulipas,0.243,0.2319,-0.0111,0.23,-0.013,0.2433,0.0003,0.267,0.024
8,Chihuahua,0.2392,0.2288,-0.0104,0.2264,-0.0128,0.2397,0.0005,0.2618,0.0226
6,Colima,0.2298,0.2139,-0.0159,0.2198,-0.01,0.2218,-0.008,0.2635,0.0337
22,Querétaro,0.2048,0.1957,-0.0091,0.1952,-0.0096,0.2023,-0.0025,0.2261,0.0213
26,Sonora,0.1951,0.1849,-0.0102,0.1832,-0.0119,0.1904,-0.0047,0.2218,0.0267
2,Baja California,0.1871,0.1746,-0.0125,0.1729,-0.0142,0.1892,0.0021,0.2118,0.0247
3,Baja California Sur,0.1639,0.1477,-0.0162,0.1457,-0.0182,0.1534,-0.0105,0.2087,0.0448
14,Jalisco,0.1637,0.1513,-0.0124,0.156,-0.0077,0.1651,0.0014,0.1823,0.0186
1,Aguascalientes,0.1521,0.146,-0.0061,0.1482,-0.0039,0.1433,-0.0088,0.1708,0.0187
5,Coahuila,0.1106,0.1037,-0.0069,0.1067,-0.0039,0.1066,-0.004,0.1255,0.0149
9,Ciudad de México,0.074,0.0659,-0.0081,0.0859,0.0119,0.0678,-0.0062,0.0765,0.0025
19,Nuevo León,0.0002,0.0003,0.0001,0.0002,-0.0,0.0002,-0.0,0.0002,-0.0
