clave,nombre,tasa_pobreza,tasa_pobreza_mod,tasa_pobreza_extrema,year_reference,source,source_file,source_sheet,source_hash_md5,data_status,ingest_timestamp
01,Aguascalientes,23.722319793100002,21.9636856712,1.7586341219000001,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174099+00:00
02,Baja California,13.3708195012,12.064917300500001,1.3059022007,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174121+00:00
03,Baja California Sur,13.329030923900001,12.5673142863,0.7617166376000001,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174123+00:00
04,Campeche,45.1294438459,35.4864875101,9.642956335800001,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174063+00:00
05,Coahuila,18.243321687,16.4471215949,1.7962000921,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174114+00:00
06,Colima,20.5471669479,19.3355496379,1.21161731,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174111+00:00
07,Chiapas,67.370829892,39.1583773176,28.2124525744,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174011+00:00
08,Chihuahua,17.572199226800002,15.476057906500001,2.0961413203,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174116+00:00
09,Ciudad de México,23.967605383600002,22.2549733683,1.7126320153,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174097+00:00
10,Durango,34.311066869,28.009076775300002,6.301990093700001,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174084+00:00
11,Guanajuato,33.0343047594,29.794113458400002,3.2401913010000003,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174087+00:00
12,Guerrero,60.3547446472,38.1247465911,22.229998056,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174033+00:00
13,Hidalgo,40.9990212816,34.220271824,6.7787494576,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174076+00:00
14,Jalisco,21.836153098100002,19.7124161049,2.1237369932,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174101+00:00
15,México,42.875514992700005,36.9155028307,5.960012162,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174068+00:00
16,Michoacán,41.7362776403,34.210159489700004,7.5261181506,2022,CONEVAL_MP_2022,Anexo estadístico entidades 2022.xlsx,Gráficas,476cdb48f4f9c74fb527e52b96b585eb,official_confirmed,2026-04-14T21:10:59.174071+00:00
